Status ==> [200], Response Time ==> [6.387 ms], Date & Time ==> [Fri, 19 May 2023 16:28:41 GMT], Method ==> [GET], Url ==> [/class/teacher/8] 
Status ==> [200], Response Time ==> [1.453 ms], Date & Time ==> [Fri, 19 May 2023 16:28:44 GMT], Method ==> [GET], Url ==> [/class/child/5] 
Status ==> [200], Response Time ==> [33.855 ms], Date & Time ==> [Fri, 19 May 2023 16:31:15 GMT], Method ==> [GET], Url ==> [/class/1] 
Status ==> [200], Response Time ==> [6.227 ms], Date & Time ==> [Fri, 19 May 2023 16:31:20 GMT], Method ==> [GET], Url ==> [/class/2] 
Status ==> [200], Response Time ==> [23.989 ms], Date & Time ==> [Fri, 19 May 2023 16:31:42 GMT], Method ==> [GET], Url ==> [/class/2] 
Status ==> [200], Response Time ==> [7.461 ms], Date & Time ==> [Fri, 19 May 2023 16:31:46 GMT], Method ==> [GET], Url ==> [/class/4] 
Status ==> [500], Response Time ==> [18.002 ms], Date & Time ==> [Fri, 19 May 2023 16:32:27 GMT], Method ==> [GET], Url ==> [/class/5] 
Status ==> [200], Response Time ==> [14.320 ms], Date & Time ==> [Fri, 19 May 2023 16:33:04 GMT], Method ==> [GET], Url ==> [/class/4] 
Status ==> [500], Response Time ==> [37.648 ms], Date & Time ==> [Fri, 19 May 2023 16:48:00 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [500], Response Time ==> [24.332 ms], Date & Time ==> [Fri, 19 May 2023 16:51:34 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [38.765 ms], Date & Time ==> [Fri, 19 May 2023 16:51:50 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [20.975 ms], Date & Time ==> [Fri, 19 May 2023 16:53:04 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [500], Response Time ==> [36.065 ms], Date & Time ==> [Fri, 19 May 2023 16:53:57 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [49.218 ms], Date & Time ==> [Fri, 19 May 2023 16:56:14 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [500], Response Time ==> [9.524 ms], Date & Time ==> [Fri, 19 May 2023 16:57:13 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [500], Response Time ==> [7.660 ms], Date & Time ==> [Fri, 19 May 2023 16:57:27 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [47.353 ms], Date & Time ==> [Fri, 19 May 2023 16:57:57 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [41.335 ms], Date & Time ==> [Fri, 19 May 2023 16:58:26 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [24.969 ms], Date & Time ==> [Fri, 19 May 2023 17:04:43 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [200], Response Time ==> [24.019 ms], Date & Time ==> [Fri, 19 May 2023 17:06:08 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [200], Response Time ==> [30.380 ms], Date & Time ==> [Fri, 19 May 2023 17:06:29 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [200], Response Time ==> [29.856 ms], Date & Time ==> [Fri, 19 May 2023 17:07:48 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [500], Response Time ==> [26.808 ms], Date & Time ==> [Fri, 19 May 2023 17:14:39 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [200], Response Time ==> [25.954 ms], Date & Time ==> [Fri, 19 May 2023 17:18:11 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [200], Response Time ==> [18.729 ms], Date & Time ==> [Fri, 19 May 2023 17:24:02 GMT], Method ==> [GET], Url ==> [/child/class/1] 
Status ==> [500], Response Time ==> [38.989 ms], Date & Time ==> [Fri, 19 May 2023 17:33:58 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [26.139 ms], Date & Time ==> [Fri, 19 May 2023 17:34:56 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [28.120 ms], Date & Time ==> [Fri, 19 May 2023 17:35:17 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
